id,name,slot,icon_path,damage_min,damage_max,Health_min,Health_max,defense_min,defense_max,movement_speed_min,movement_speed_max,attack_speed_min,attack_speed_max
21,rings_type2_tier5,Ring,res://assets/items/equipment/equipable/rings_type2_tier5.png,0.54,1.35,2.02,4.86,0.54,1.62,0.27,0.81,0.0,0.0
22,rings_type3_tier1,Ring,res://assets/items/equipment/equipable/rings_type3_tier1.png,0.73,1.82,2.73,6.56,0.73,2.19,0.36,1.09,0.0,0.0
23,rings_type3_tier2,Ring,res://assets/items/equipment/equipable/rings_type3_tier2.png,0.73,1.82,2.73,6.56,0.73,2.19,0.36,1.09,0.0,0.0
24,rings_type3_tier3,Ring,res://assets/items/equipment/equipable/rings_type3_tier3.png,0.73,1.82,2.73,6.56,0.73,2.19,0.36,1.09,0.0,0.0
25,rings_type3_tier4,Ring,res://assets/items/equipment/equipable/rings_type3_tier4.png,0.73,1.82,2.73,6.56,0.73,2.19,0.36,1.09,0.0,0.0
26,rings_type3_tier5,Ring,res://assets/items/equipment/equipable/rings_type3_tier5.png,0.73,1.82,2.73,6.56,0.73,2.19,0.36,1.09,0.0,0.0
27,rings_type4_tier1,Ring,res://assets/items/equipment/equipable/rings_type4_tier1.png,0.98,2.46,3.69,8.86,0.98,2.95,0.49,1.48,0.0,0.0
28,rings_type4_tier2,Ring,res://assets/items/equipment/equipable/rings_type4_tier2.png,0.98,2.46,3.69,8.86,0.98,2.95,0.49,1.48,0.0,0.0
29,rings_type4_tier3,Ring,res://assets/items/equipment/equipable/rings_type4_tier3.png,0.98,2.46,3.69,8.86,0.98,2.95,0.49,1.48,0.0,0.0
30,rings_type4_tier4,Ring,res://assets/items/equipment/equipable/rings_type4_tier4.png,0.98,2.46,3.69,8.86,0.98,2.95,0.49,1.48,0.0,0.0
31,rings_type4_tier5,Ring,res://assets/items/equipment/equipable/rings_type4_tier5.png,0.98,2.46,3.69,8.86,0.98,2.95,0.49,1.48,0.0,0.0
32,rings_type5_tier1,Ring,res://assets/items/equipment/equipable/rings_type5_tier1.png,1.33,3.32,4.98,11.96,1.33,3.99,0.66,1.99,0.0,0.0
33,rings_type5_tier2,Ring,res://assets/items/equipment/equipable/rings_type5_tier2.png,1.33,3.32,4.98,11.96,1.33,3.99,0.66,1.99,0.0,0.0
34,rings_type5_tier3,Ring,res://assets/items/equipment/equipable/rings_type5_tier3.png,1.33,3.32,4.98,11.96,1.33,3.99,0.66,1.99,0.0,0.0
35,rings_type5_tier4,Ring,res://assets/items/equipment/equipable/rings_type5_tier4.png,1.33,3.32,4.98,11.96,1.33,3.99,0.66,1.99,0.0,0.0
36,rings_type5_tier5,Ring,res://assets/items/equipment/equipable/rings_type5_tier5.png,1.33,3.32,4.98,11.96,1.33,3.99,0.66,1.99,0.0,0.0
37,rings_type6_tier1,Ring,res://assets/items/equipment/equipable/rings_type6_tier1.png,1.79,4.48,6.73,16.14,1.79,5.38,0.9,2.69,0.0,0.0
38,rings_type6_tier2,Ring,res://assets/items/equipment/equipable/rings_type6_tier2.png,1.79,4.48,6.73,16.14,1.79,5.38,0.9,2.69,0.0,0.0
39,rings_type6_tier3,Ring,res://assets/items/equipment/equipable/rings_type6_tier3.png,1.79,4.48,6.73,16.14,1.79,5.38,0.9,2.69,0.0,0.0
40,rings_type6_tier4,Ring,res://assets/items/equipment/equipable/rings_type6_tier4.png,1.79,4.48,6.73,16.14,1.79,5.38,0.9,2.69,0.0,0.0
41,rings_type6_tier5,Ring,res://assets/items/equipment/equipable/rings_type6_tier5.png,1.79,4.48,6.73,16.14,1.79,5.38,0.9,2.69,0.0,0.0
42,rings_type7_tier1,Ring,res://assets/items/equipment/equipable/rings_type7_tier1.png,2.42,6.05,9.08,21.79,2.42,7.26,1.21,3.63,0.0,0.0
43,rings_type7_tier2,Ring,res://assets/items/equipment/equipable/rings_type7_tier2.png,2.42,6.05,9.08,21.79,2.42,7.26,1.21,3.63,0.0,0.0
44,rings_type7_tier3,Ring,res://assets/items/equipment/equipable/rings_type7_tier3.png,2.42,6.05,9.08,21.79,2.42,7.26,1.21,3.63,0.0,0.0
45,rings_type7_tier4,Ring,res://assets/items/equipment/equipable/rings_type7_tier4.png,2.42,6.05,9.08,21.79,2.42,7.26,1.21,3.63,0.0,0.0
46,rings_type7_tier5,Ring,res://assets/items/equipment/equipable/rings_type7_tier5.png,2.42,6.05,9.08,21.79,2.42,7.26,1.21,3.63,0.0,0.0
47,rings_type8_tier1,Ring,res://assets/items/equipment/equipable/rings_type8_tier1.png,3.27,8.17,12.26,29.42,3.27,9.81,1.63,4.9,0.0,0.0
48,rings_type8_tier2,Ring,res://assets/items/equipment/equipable/rings_type8_tier2.png,3.27,8.17,12.26,29.42,3.27,9.81,1.63,4.9,0.0,0.0
49,rings_type8_tier3,Ring,res://assets/items/equipment/equipable/rings_type8_tier3.png,3.27,8.17,12.26,29.42,3.27,9.81,1.63,4.9,0.0,0.0
50,rings_type8_tier4,Ring,res://assets/items/equipment/equipable/rings_type8_tier4.png,3.27,8.17,12.26,29.42,3.27,9.81,1.63,4.9,0.0,0.0
51,rings_type8_tier5,Ring,res://assets/items/equipment/equipable/rings_type8_tier5.png,3.27,8.17,12.26,29.42,3.27,9.81,1.63,4.9,0.0,0.0
52,rings_type9_tier5,Ring,res://assets/items/equipment/equipable/rings_type9_tier5.png,4.41,11.03,16.55,39.72,4.41,13.24,2.21,6.62,0.0,0.0
53,wooden_boots_type1_tier1,Boots,res://assets/items/equipment/equipable/wooden_boots_type1_tier1.png,0.0,0.0,1.0,2.4,0.6,1.8,1.0,3.0,0.0,0.0
54,wooden_boots_type2_tier1,Boots,res://assets/items/equipment/equipable/wooden_boots_type2_tier1.png,0.0,0.0,1.35,3.24,0.81,2.43,1.35,4.05,0.0,0.0
55,wooden_boots_type3_tier1,Boots,res://assets/items/equipment/equipable/wooden_boots_type3_tier1.png,0.0,0.0,1.82,4.37,1.09,3.28,1.82,5.47,0.0,0.0
56,wooden_boots_type4_tier1,Boots,res://assets/items/equipment/equipable/wooden_boots_type4_tier1.png,0.0,0.0,2.46,5.9,1.48,4.43,2.46,7.38,0.0,0.0
57,wooden_boots_type5_tier1,Boots,res://assets/items/equipment/equipable/wooden_boots_type5_tier1.png,0.0,0.0,3.32,7.97,1.99,5.98,3.32,9.96,0.0,0.0
58,wooden_boots_type6_tier1,Boots,res://assets/items/equipment/equipable/wooden_boots_type6_tier1.png,0.0,0.0,4.48,10.76,2.69,8.07,4.48,13.45,0.0,0.0
59,wooden_boots_type7_tier1,Boots,res://assets/items/equipment/equipable/wooden_boots_type7_tier1.png,0.0,0.0,6.05,14.53,3.63,10.9,6.05,18.16,0.0,0.0
60,wooden_boots_type8_tier1,Boots,res://assets/items/equipment/equipable/wooden_boots_type8_tier1.png,0.0,0.0,8.17,19.61,4.9,14.71,8.17,24.52,0.0,0.0
61,wooden_chest_type1_tier1,Chest,res://assets/items/equipment/equipable/wooden_chest_type1_tier1.png,0.0,0.0,4.0,9.6,2.0,6.0,0.0,0.0,0.0,0.0
62,wooden_chest_type2_tier1,Chest,res://assets/items/equipment/equipable/wooden_chest_type2_tier1.png,0.0,0.0,5.4,12.96,2.7,8.1,0.0,0.0,0.0,0.0
63,wooden_chest_type3_tier1,Chest,res://assets/items/equipment/equipable/wooden_chest_type3_tier1.png,0.0,0.0,7.29,17.5,3.65,10.94,0.0,0.0,0.0,0.0
64,wooden_chest_type4_tier1,Chest,res://assets/items/equipment/equipable/wooden_chest_type4_tier1.png,0.0,0.0,9.84,23.62,4.92,14.76,0.0,0.0,0.0,0.0
65,wooden_chest_type5_tier1,Chest,res://assets/items/equipment/equipable/wooden_chest_type5_tier1.png,0.0,0.0,13.29,31.89,6.64,19.93,0.0,0.0,0.0,0.0
66,wooden_chest_type6_tier1,Chest,res://assets/items/equipment/equipable/wooden_chest_type6_tier1.png,0.0,0.0,17.94,43.05,8.97,26.9,0.0,0.0,0.0,0.0
67,wooden_chest_type7_tier1,Chest,res://assets/items/equipment/equipable/wooden_chest_type7_tier1.png,0.0,0.0,24.21,58.11,12.11,36.32,0.0,0.0,0.0,0.0
68,wooden_chest_type8_tier1,Chest,res://assets/items/equipment/equipable/wooden_chest_type8_tier1.png,0.0,0.0,32.69,78.45,16.34,49.03,0.0,0.0,0.0,0.0
69,wooden_gloves_type1_tier1,Gloves,res://assets/items/equipment/equipable/wooden_gloves_type1_tier1.png,1.0,2.5,0.0,0.0,0.6,1.8,0.0,0.0,0.0,0.0
70,wooden_gloves_type2_tier1,Gloves,res://assets/items/equipment/equipable/wooden_gloves_type2_tier1.png,1.35,3.38,0.0,0.0,0.81,2.43,0.0,0.0,0.0,0.0
71,wooden_gloves_type3_tier1,Gloves,res://assets/items/equipment/equipable/wooden_gloves_type3_tier1.png,1.82,4.56,0.0,0.0,1.09,3.28,0.0,0.0,0.0,0.0
72,wooden_gloves_type4_tier1,Gloves,res://assets/items/equipment/equipable/wooden_gloves_type4_tier1.png,2.46,6.15,0.0,0.0,1.48,4.43,0.0,0.0,0.0,0.0
73,wooden_gloves_type5_tier1,Gloves,res://assets/items/equipment/equipable/wooden_gloves_type5_tier1.png,3.32,8.3,0.0,0.0,1.99,5.98,0.0,0.0,0.0,0.0
74,wooden_gloves_type6_tier1,Gloves,res://assets/items/equipment/equipable/wooden_gloves_type6_tier1.png,4.48,11.21,0.0,0.0,2.69,8.07,0.0,0.0,0.0,0.0
75,wooden_gloves_type7_tier1,Gloves,res://assets/items/equipment/equipable/wooden_gloves_type7_tier1.png,6.05,15.13,0.0,0.0,3.63,10.9,0.0,0.0,0.0,0.0
76,wooden_gloves_type8_tier1,Gloves,res://assets/items/equipment/equipable/wooden_gloves_type8_tier1.png,8.17,20.43,0.0,0.0,4.9,14.71,0.0,0.0,0.0,0.0
77,wooden_helm_type1_tier1,Helmet,res://assets/items/equipment/equipable/wooden_helm_type1_tier1.png,0.0,0.0,2.5,6.0,1.6,4.8,0.0,0.0,0.0,0.0
78,wooden_helm_type2_tier1,Helmet,res://assets/items/equipment/equipable/wooden_helm_type2_tier1.png,0.0,0.0,3.38,8.1,2.16,6.48,0.0,0.0,0.0,0.0
79,wooden_helm_type3_tier1,Helmet,res://assets/items/equipment/equipable/wooden_helm_type3_tier1.png,0.0,0.0,4.56,10.94,2.92,8.75,0.0,0.0,0.0,0.0
80,wooden_helm_type4_tier1,Helmet,res://assets/items/equipment/equipable/wooden_helm_type4_tier1.png,0.0,0.0,6.15,14.76,3.94,11.81,0.0,0.0,0.0,0.0
81,wooden_helm_type5_tier1,Helmet,res://assets/items/equipment/equipable/wooden_helm_type5_tier1.png,0.0,0.0,8.3,19.93,5.31,15.94,0.0,0.0,0.0,0.0
82,wooden_helm_type6_tier1,Helmet,res://assets/items/equipment/equipable/wooden_helm_type6_tier1.png,0.0,0.0,11.21,26.9,7.17,21.52,0.0,0.0,0.0,0.0
83,wooden_helm_type7_tier1,Helmet,res://assets/items/equipment/equipable/wooden_helm_type7_tier1.png,0.0,0.0,15.13,36.32,9.69,29.06,0.0,0.0,0.0,0.0
84,wooden_helm_type8_tier1,Helmet,res://assets/items/equipment/equipable/wooden_helm_type8_tier1.png,0.0,0.0,20.43,49.03,13.08,39.23,0.0,0.0,0.0,0.0
85,wooden_pants_type1_tier1,Pants,res://assets/items/equipment/equipable/wooden_pants_type1_tier1.png,0.0,0.0,2.5,6.0,1.2,3.6,0.3,0.9,0.0,0.0
86,wooden_pants_type2_tier1,Pants,res://assets/items/equipment/equipable/wooden_pants_type2_tier1.png,0.0,0.0,3.38,8.1,1.62,4.86,0.41,1.22,0.0,0.0
87,wooden_pants_type3_tier1,Pants,res://assets/items/equipment/equipable/wooden_pants_type3_tier1.png,0.0,0.0,4.56,10.94,2.19,6.56,0.55,1.64,0.0,0.0
88,wooden_pants_type4_tier1,Pants,res://assets/items/equipment/equipable/wooden_pants_type4_tier1.png,0.0,0.0,6.15,14.76,2.95,8.86,0.74,2.21,0.0,0.0
89,wooden_pants_type5_tier1,Pants,res://assets/items/equipment/equipable/wooden_pants_type5_tier1.png,0.0,0.0,8.3,19.93,3.99,11.96,1.0,2.99,0.0,0.0
90,wooden_pants_type6_tier1,Pants,res://assets/items/equipment/equipable/wooden_pants_type6_tier1.png,0.0,0.0,11.21,26.9,5.38,16.14,1.35,4.04,0.0,0.0
91,wooden_pants_type7_tier1,Pants,res://assets/items/equipment/equipable/wooden_pants_type7_tier1.png,0.0,0.0,15.13,36.32,7.26,21.79,1.82,5.45,0.0,0.0
92,wooden_pants_type8_tier1,Pants,res://assets/items/equipment/equipable/wooden_pants_type8_tier1.png,0.0,0.0,20.43,49.03,9.81,29.42,2.45,7.35,0.0,0.0
93,wooden_shield_type1_tier1,Shield,res://assets/items/equipment/equipable/wooden_shield_type1_tier1.png,0.0,0.0,1.5,3.6,2.0,6.0,0.0,0.0,0.0,0.0
94,wooden_shield_type2_tier1,Shield,res://assets/items/equipment/equipable/wooden_shield_type2_tier1.png,0.0,0.0,2.02,4.86,2.7,8.1,0.0,0.0,0.0,0.0
95,wooden_shield_type3_tier1,Shield,res://assets/items/equipment/equipable/wooden_shield_type3_tier1.png,0.0,0.0,2.73,6.56,3.65,10.94,0.0,0.0,0.0,0.0
96,wooden_shield_type4_tier1,Shield,res://assets/items/equipment/equipable/wooden_shield_type4_tier1.png,0.0,0.0,3.69,8.86,4.92,14.76,0.0,0.0,0.0,0.0
97,wooden_sword_large1_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_large1_tier1.png,3.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.72
98,wooden_sword_large2_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_large2_tier1.png,3.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.72
99,wooden_sword_large3_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_large3_tier1.png,3.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.72
100,wooden_sword_large4_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_large4_tier1.png,3.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.72
101,wooden_sword_large5_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_large5_tier1.png,3.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.72
102,wooden_sword_large6_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_large6_tier1.png,3.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.72
103,wooden_sword_large7_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_large7_tier1.png,3.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.72
104,wooden_sword_slim1_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_slim1_tier1.png,1.4,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.68
105,wooden_sword_slim2_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_slim2_tier1.png,1.4,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.68
106,wooden_sword_slim3_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_slim3_tier1.png,1.4,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.68
107,wooden_sword_slim4_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_slim4_tier1.png,1.4,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.68
108,wooden_sword_slim5_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_slim5_tier1.png,1.4,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.68
109,wooden_sword_slim6_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_slim6_tier1.png,1.4,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.68
110,wooden_sword_slim7_tier1,Weapon,res://assets/items/equipment/equipable/wooden_sword_slim7_tier1.png,1.4,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.68
